intellij_action_id,intellij_action_class,category,capability,engine_api,swiftui_entry,status,success_path,failure_path,test_evidence,notes
Show.Current.Revision,com.intellij.openapi.vcs.actions.ShowBaseRevisionAction,history,显示文件当前提交版本元数据,log_with_command(--all;--follow;-n1;--;path),ProjectFileTreeView.swift + WorkspaceOperations.swift + CurrentRevisionView,verified-partial,项目文件树文件右键显示最近提交的 revision、author、date 和完整 message；按最深 owning Git root 查询 --all 路径历史并保留 follow-renames；无历史、untracked、ignored、conflicted 文件 fail-closed；SwiftUI sheet 替代原生 notification popup,原生 DataContext/ProgressManager/VcsNotifier lifecycle 与 UI automation 仍缺,ArborTests/CompareSelectionTests.swift::testProjectFileTreeShowCurrentRevisionFollowsGitFileStatus + arbor-engine/tests/log_filter.rs::command_log_filter_can_find_file_revision_on_another_ref_with_follow,对照 ShowBaseRevisionAction；不宣称完整 native notification/action lifecycle
git4idea.commands.TestGitHttpLoginDialogAction,git4idea.commands.TestGitHttpLoginDialogAction,commands,HTTP login dialog (internal test action),none,none,out-of-scope,-,-,none,internal=true 调试动作
src git4idea/commands (GitHttpAuthService/GitAskPass),git4idea.commands.GitHttpAuthService,commands,HTTPS credential + askpass auth flow,CredentialBroker + clone_repository_with_auth + fetch/pull_with_auth + push_with_auth + run_git_with_askpass,CredentialAuth.swift: CredentialDialogView + CredentialRequestHandlerImpl + KeychainStore.gitCredential,verified-partial,首次提示弹登录框;首次请求 Keychain 静默命中;401/403 认证失败最多重建一次 askpass 会话;重试 request 携带脱敏 previous_error 且跳过旧 Keychain 值;取消 -> EngineError.Cancelled,真实 sshd/Keychain UI 自动化仍缺;agent/helper 来源级成功观测仍缺;SSH passphrase 不写入 Git remote credential Keychain,tests/auth.rs + tests/remote_config.rs + auth.rs::retry_prompt_carries_redacted_previous_error + gitprocess.rs::classifies_auth_failures (mock HTTP/askpass/helper 全流程),AUTH-001 已完成 clone/fetch/pull/push 的 askpass 引擎+UI 接线与 Git SSH Settings 的 helper 可用性诊断及 local helper 编辑、应用级 Git executable 选择；应用级 credential helper 开关、结构化 SSH host-key/auth/identity/known_hosts、Ask 多行指纹 prompt、changed-host-key 分类与 SSH Settings 恢复、认证失败重建会话、prompt 成功后的 last-successful method 和只读 agent 探测均已接入；参考 SSHConnectionSettings 只要求 last-successful map，agent/helper 来源级成功观测不作为已证实的基线缺口
src git4idea/commands (Git command service),git4idea.commands.GitImpl,commands,Run arbitrary git command with captured output,run_git_command,RebasedWorkspaceViews.swift: GitConsoleView,completed,stdout/stderr/exit code/耗时完整展示并进操作历史,非零退出码红色标记不中断,tests/console.rs,XML 未注册;Arbor 以 Git Console 承载
vcs.Git (projectConfigurable),git4idea.config.GitVcsPanel,settings,Git 配置页 (executable/SSH/根映射),git_identity + set_git_identity + config_value + set_ssh_command + set_git_executable + set_project_git_executable + clear_project_git_executable + project_git_executable + set_git_executable_override + ssh_connection_settings + set_ssh_connection_settings + credential_helper_config + set_credential_helper_config + ssh_agent_diagnostics,DiagnosticsLogger.swift: GitExecutableSettingsSection + ProjectGitIncomingChangesSettingsView + ContentView.swift: GitIdentitySettingsView + PushDialogView: SSH Settings…,verified-partial,identity/签名/作者覆盖、应用级 Git executable、项目级 override 的持久化/继承/清除、按最长 Git root 匹配与 Repository 级 system-Git 运行时隔离、repository-scoped SSH transport 与 local credential helper 列表保存生效，并可查看只读 agent 状态,无效 executable -> Git --version 校验失败反馈；项目 root 注册失败或 override 失效 -> 项目级设置错误/结构化诊断并回退应用默认,tests/identity.rs + tests/remote_config.rs::credential_helper_local_config_can_be_replaced_and_cleared + tests/git_executable.rs + ArborTests/HostingProviderTests.swift::GitExecutableSettingsTests + ssh_agent_diagnostics,Git executable 核心 project override 已接入；仍缺的是项目设置 UI automation、root 注册清理和后台调度器的更细 operation context；参考 SSHConnectionSettings 仅要求 last-successful map，agent/helper 来源级成功观测不作为已证实的 IntelliJ 基线缺口
src git4idea/config (SSH executable settings),git4idea.config.GitVcsApplicationSettings,settings,SSH executable & connection settings,git_executable + set_git_executable + set_project_git_executable + clear_project_git_executable + project_git_executable + set_git_executable_override + config_value + set_ssh_command + ssh_connection_settings + set_ssh_connection_settings + credential_helper_config + set_credential_helper_config + ssh_agent_diagnostics,BeforeCommitSettingsView.swift: GitExecutableSettingsSection + ProjectGitIncomingChangesSettingsView + GitSSHSettingsView,verified-partial,应用级 Git executable 可 Browse/Test/Save/Reset 并作用于 system Git；项目级 override 继承/清除、已发现 root 注册和 Repository 级隔离已作用于 system Git；仓库级 core.sshCommand 与 local credential.helper 可读取/保存/清除，host-key/known_hosts/identity/auth method 可配置并作用于传输；Git SSH Settings 可只读探测 SSH_AUTH_SOCK 与 agent 身份数量,非法路径/版本 -> 结构化错误；项目 override 失效 -> 项目级保存失败或回退应用默认,tests/git_executable.rs + tests/remote_config.rs::structured_ssh_settings_compile_into_transport_command + credential_helper_local_config_can_be_replaced_and_cleared + ArborTests/HostingProviderTests.swift::GitExecutableSettingsTests + ssh_agent_diagnostics_never_returns_identity_material,已覆盖 application/project-level executable、结构化 SSH transport、Ask/changed-host-key、last-successful prompt method、repository-local helper 与 agent 诊断；仍有 UI automation/root registry cleanup/background operation context 长尾；agent/helper 来源级成功观测不属于已证实的参考基线
Git.Stage.Enable,git4idea.index.actions.GitEnableStagingAreaAction,settings,Enable staging area mode,N/A (固定双栏模型),N/A,out-of-scope,-,-,-,Arbor 固定启用 staging 模型;见 git-parity-decisions.md 决策 5
Git.Stage.Disable,git4idea.index.actions.GitDisableStagingAreaAction,settings,Disable staging area mode,N/A,N/A,out-of-scope,-,-,-,同上
src GitProtectedBranches,git4idea.config.GitProtectedBranches,settings,Protected branches (force push 防护),RootProtectedBranchPatterns + GitProtectedBranchRules + protectedBranchPatterns,DiagnosticsLogger.swift: Protected Branches + Remote Protection sections + Project Git Settings + PushDialogView force guard,verified-partial,main/master 默认禁止 force push;配置正则与 GitHub/GitLab/Bitbucket Fetch 后同步的远端规则都会合并，并由操作层再次拦截;多 root 现在按所属 root 加载、同步并传入 Push 对话框、Push All Rust runner 及执行前 force guard,同步失败保留对应 Git root 缓存;项目可 override 本地保护正则与 hosted-rule 同步开关，未 override 时继承全局设置;custom refspec 与 root-scoped Push 目标仍逐 root 检查,ArborTests/HostingProviderTests.swift::GitProtectedBranchRulesTests + testMultiRootRemotePatternsDoNotCrossProtectRepositories + tests/multi_root.rs::multi_root_force_push_uses_only_the_owning_root_protection_rules + testProjectProtectedBranchSettingsOverrideAndThenInheritGlobalValues + testGitHubProtectedBranchPatternsUseGraphQLPagination + GitLab/Bitbucket protected branch pagination tests,仍缺 IntelliJ GitProtectedBranchProvider 扩展点及各 provider 更细粒度的保护策略映射;原生通知/DataContext/UI automation 仍是 partial
registry git.use.push.force.with.lease,advancedSetting,settings,Push 默认使用 force-with-lease,"push_force_with_lease (独立 API,拒绝时分类 NonFastForward)",DiagnosticsSettingsView GitPushSettingsSection + PushDialogView + doPush/commitAndPush,completed,显式 force push 默认使用 lease；用户可在 Settings 或当前 Push 对话框关闭 lease,stale info 分类为 NonFastForward,tests/remote_config.rs + ArborTests/HostingProviderTests.swift::GitPushSettingsTests,AppStorage 默认 true；普通 push 不受影响；custom refspec 与多 root 复用同一选择
registry git.clone.recurse.submodules,advancedSetting,settings,Clone 时递归初始化 submodules,clone (recursive 参数),DiagnosticsLogger.swift: DiagnosticsSettingsView + RebasedDialogs.swift: RebasedCloneDialog 递归开关,completed,递归 clone 含子模块；默认 true 且用户选择可从 Git Settings 或 Clone dialog 持久化调整,-,tests/project_lifecycle.rs::clone_local_repository_with_recursive_submodule + ArborTests/CompareSelectionTests.swift::testCloneRecursiveSubmodulesSettingDefaultsOnAndPersists,IntelliJ registry 默认 true；Arbor 已对齐默认值、实际 clone 结果与设置入口
git.branches.popup.resize,com.intellij.vcs.git.branch.popup.GitBranchesTreePopupResizeAction,settings,分支弹窗尺寸调整,N/A,N/A,out-of-scope,-,-,-,UI 布局细节
Git.Configure.Remotes,git4idea.remote.GitConfigureRemotesAction,remote,查看/添加/删除 remote,remote_list / remote_add / remote_remove / remote_rename / remote_set_url / remote_set_push_url / remote_set_refspecs,RebasedDialogs.swift: MultiRootRemoteConfigDialogView + RemoteConfigDialogView,completed,单 root/多 root 均按 repository 分组展示；Add 使用当前 root，双击/Edit 使用选中 remote，Remove 有确认；新增/保存前执行带 askpass 的 git ls-remote；新增/编辑后可选 Fetch,同名/非法名/空 URL/URL 不可达/系统 Git remote 错误 -> FeedbackCenter,tests/remote_config.rs::remote_crud_set_url_push_url_refspecs_rename + remote_add_and_remove_use_git_crud_and_clean_tracking_refs + auth.rs::ls_remote_with_broker,标准 git remote CRUD 与 tracking refs 清理；项目级 Configure Remotes 与 IntelliJ 多 root 聚合模型对齐
Git.Fetch,git4idea.actions.GitFetch,push_fetch,Fetch 当前/全部远程,fetch_all_remotes,RebasedWorkspaceViews.swift: RebasedTopBar Fetch + ArborApp.swift: VCS 菜单 Fetch,completed,无 remote 参数时按 IntelliJ 语义抓取项目内所有 Git root 的所有 remote；显式 remote 配置流程仍可只抓一个 remote,网络/认证失败 -> 反馈中心错误详情,tests/remote_refs.rs,IntelliJ 无默认快捷键;Arbor 同
Git.Branches.Popup.Fetch,git4idea.ui.branch.GitBranchPopupFetchAction,push_fetch,Fetch 指定远程分支,fetch_remote_branch + fetch_remote_branch_with_auth_and_cancel,RebasedDialogs.swift: RebasedBranchesPopover Fetch Remote Branch,completed,仅更新选中的 remote-tracking ref,-,tests/remote_refs.rs::fetch_remote_branch_updates_only_the_selected_remote_tracking_ref,单 root 与多 root 均使用显式 refs/heads/<branch>:refs/remotes/<remote>/<branch> refspec，即使 remote.<name>.fetch 是自定义映射也不回退为 remote 级 fetch；认证与取消路径复用统一 Git process
Git.Unshallow,git4idea.actions.GitUnshallowRepositoryAction,remote,补全 shallow clone 历史 (--unshallow),is_shallow + fetch_unshallow_with_auth_and_cancel,WorkspaceOperations.swift: doFetchUnshallow + RebasedBranchesPopover Remote maintenance,completed,仅 shallow repository 显示入口；确认后以 configured upstream remote 优先执行认证/可取消 fetch --unshallow,网络/认证/非 shallow 错误 -> FeedbackCenter,tests/remote_config.rs::fetch_unshallow_downloads_full_history,入口可见性由 Rust shallow 文件状态驱动，成功后刷新状态隐藏入口
Git.Pull,git4idea.actions.GitPull,push_fetch,Pull/Update 当前分支 (merge 或 rebase),"pull_with_settings_and_policy + pull_remote_branch_with_settings_and_policy",RebasedWorkspaceViews.swift: RebasedTopBar Update (⌘T) + ArborApp.swift: Pull > Merge/Rebase,verified-partial,当前 root 与 selected secondary root 都按项目 Shelve/Stash 保存 tracked/untracked/ignored 后恢复；Pull dialog 显式选择 root/remote/remote-tracking branch，并将 strategy/no-commit/no-verify 传入 Rust；Pull 自身 merge/rebase 冲突 Continue/Skip/Abort 完成后按 root 恢复保存现场,分叉冲突 -> Merge Revisions；原生 Pull dialog/VcsNotifier/DataContext lifecycle 仍缺,arbor-engine/tests/pull.rs + tests/pull_errors.rs + ArborTests/HostingProviderTests.swift::testPullDialogOptionsMatchIntelliJIncompatibilities,IntelliJ GitSaveChangesPolicy;显式 Pull 不再只使用默认 upstream
Vcs.UpdateProject,platform action reference,push_fetch,Update Project (pull 全部仓库),pull / run_multi_root_update_with_policy,ArborApp.swift: ProjectCommands Update Project (⌘T) + ContentView.swift: multi-root update,verified-partial,单 root 与多 root 自动发现全部 Git root，按 Settings 保存并保留 dirty tracked/untracked/ignored 现场及 staged/unstaged 边界；单 root Pull 的临时 stash 通过本次唯一 message 精确定位并保留 index，多 root Update 的同进程恢复保留 Shelf/stash 结果，重启后按稳定 Update label 重新发现；detached submodule 递归发现最近父仓库，最深层优先保存现场，父 root 更新 gitlink 后逐层 checkout 并恢复现场；Git Roots 冲突区按 root 聚合受影响路径，支持 Cmd/Shift 跨 root 多选批量 Accept Ours/Theirs，并可从路径打开对应 root-scoped 三栏 workbench；冲突后进入项目级 resolver queue，统一展示各 root 的 operation/unmerged/Shelf/Stash 冲突，并提供 Continue/Skip/Abort，Shelf/Stash 恢复冲突再进入 root workbench；Checkout and Update 复合入口已补 root 定向/全量执行与 checkout 阶段补偿回滚；重启后从 root snapshot、Git stash 栈或命名 Shelf 重新发现临时 Update 保存，并在无进行中操作时提供 root-scoped Restore；已对齐 IntelliJ GitUpdateProcess 的逐 root partial-result 语义，最终 Update Project 反馈会汇总 updated file 数与 commit 数并按 skip reason 列出 skipped roots，终态反馈不会被刷新任务覆盖；Update 失败 root 的 Retry action 现在以 Codable semantic action 保存精确 root scope 与 rebase 策略，并以稳定 notification ID 跨重启恢复；更完整的 rollback/action surface 仍缺，冲突文件可从 root workbench 调用外部 merge tool,tests/pull.rs + tests/roots.rs::discovers_nested_submodule_and_marks_nearest_parent + tests/multi_root.rs::multi_root_update_updates_detached_submodule_from_parent_and_restores_local_changes + tests/multi_root.rs::multi_root_update_processes_nested_detached_submodules_in_parent_order + tests/multi_root.rs::multi_root_update_shelve_preserves_staged_and_unstaged_changes + ArborTests/HostingProviderTests.swift::GitUpdateNotificationSummaryTests + ArborTests/HostingProviderTests.swift::testSuccessDetailIncludesCommitCountAndSkippedReasons + ArborTests/CompareSelectionTests.swift::testMultiRootRetryActionRequestRoundTripsOperationAndRootScopes,⌘T 已在多 root 项目聚合 configured upstream；旧 Git Roots Pull All 仍是较低级聚合入口,
Vcs.Push,platform action reference,push_fetch,Push All (全部 Git roots),run_multi_root_push / run_multi_root_push_recovery,ArborApp.swift: VCS Push + ContentView.swift: Git Roots Push All,verified-partial,"按 child-first 依赖顺序聚合 Push partial result；失败或取消的 submodule 会阻止父 gitlink 发布；失败 root Retry 以及 non-fast-forward 的 Update with Merge/Rebase 会保存精确 root scope、更新范围和策略，并以 Codable semantic action + stable notification ID 跨重启恢复；初始 Push All 成功/部分成功时按 transport 前已知 local tip 与 tracked upstream tip 的 merge-base → local tip，为实际成功 root 提供可跨重启的 root-qualified View Commits；无法确认旧边界的首次 publish/tag-only/unrelated-history root 安全省略；Push recovery 完成后按实际前进的 root 生成可跨重启的 root-qualified View Commits；Push recovery 按最深层保存并恢复嵌套 submodule 与父 root 的本地现场；Retry Failed Push Roots / Force Push Anyway 只替换失败 root 的结果行，保留首轮成功 root，并把完整结果树写入可跨重启的 semantic retry action","仍缺真正跨 root rollback（参考实现本身也不默认回滚成功 root）、联合 diff、恢复后的复杂后续 action 编排和更细通知历史分组","tests/multi_root.rs::multi_root_push_partial_failure_isolated + tests/multi_root.rs::multi_root_push_publishes_submodule_before_superproject + tests/multi_root.rs::multi_root_push_recovery_updates_and_republishes_selected_root + ArborTests/HostingProviderTests.swift::testPushRecoveryRevisionRangesIncludeOnlyRootsThatUpdatedAndRepublished + ArborTests/HostingProviderTests.swift::testSuccessfulPushRevisionRangesOnlyIncludeCompletedRoots + ArborTests/HostingProviderTests.swift::testMultiRootPushRetryRowsRetainSuccessfulRootsAndReplaceRetriedRoots + ArborTests/CompareSelectionTests.swift::testMultiRootRetryActionRequestRoundTripsOperationAndRootScopes + testFeedbackHistoryRestoresMultiRootRetryActionAcrossReload","与 IntelliJ GitPushOperation/GitPushResultNotification 的 dependency ordering、partial result、累计 repository result map、初始 Push 成功后提交查看和 recovery 后提交查看动作对齐；更完整的 rollback/通知分组仍缺"
Arbor.Current.PushRecoverySingleRoot.ViewCommits,GitPushResultNotification,push_fetch,Single-root and nested-root Push recovery View Commits,updateSessionRevisionRanges + joinedRevisionRanges + showLogRanges,WorkspaceOperations.swift: updateRootForPushRecovery + pushInRoot,verified-partial,"Update with Merge/Rebase 前后 HEAD 只在成功且实际前进时生成 root-qualified View Commits；后续 Push 的 success/rejected/stale-lease/error notification 以及 Retry Push/Force Push Anyway 都继续携带同一 semantic action；重复 recovery 按 root 合并范围并可跨重启恢复","跨 root atomic rollback、联合 diff、完整 native VcsNotifier 生命周期和 UI automation 仍 partial","ArborTests/HostingProviderTests.swift::testPushRecoveryRevisionRangesIncludeOnlyRootsThatUpdatedAndRepublished + testJoinedRevisionRangesKeepOriginalBoundaryAcrossRepeatedPushRecovery + ArborTests/CompareSelectionTests.swift::testFeedbackHistoryRestoresRootPushRecoveryViewCommitsActionAcrossReload + xcodebuild test + script/build_and_run.sh --verify","补齐 IntelliJ rejected Push -> Update -> Push 在单 root及嵌套 root的 received-commits后续动作边界"
(GitUpdateSelectedBranchAction),git4idea.actions.branch.GitUpdateSelectedBranchAction,branch,Update tracked branch (当前分支按配置集成 非当前分支直接快进),update_branch / update_branch_with_options_and_auth_and_cancel / run_root_update_for_push_recovery_with_options,WorkspaceOperations.swift: executeBranchUpdateInRoot + RebasedDialogs.swift Branches Popup Update,verified-partial,当前分支使用项目 Merge/Rebase 设置并保存本地变更 非当前分支仅快进本地 ref 不切换工作树 两者都使用认证 broker 和取消句柄 多选允许当前与非当前分支混选,非快进/冲突进入现有更新状态恢复；原生 GitUpdateExecutionProcess GitFetchSupport VcsNotifier/DataContext 生命周期和 UI automation 仍 partial,tests/pull.rs::update_non_current_branch_fast_forwards_without_checkout + update_non_current_branch_with_auth_and_cancel_fast_forwards_without_checkout + ArborTests/HostingProviderTests.swift::testBranchDashboardMultipleLocalSelectionBlocksDeleteWhenCurrentIsIncluded + ArborTests/CompareSelectionTests.swift::testConfiguredUpstreamResolvesTheLongestRemotePrefix + xcodebuild test + script/build_and_run.sh --verify,对齐 GitUpdateSelectedBranchAction 与 GitBranchActionsUtil.updateBranches 的 current/non-current 分流及 mixed selection presentation
(GitPushBranchAction),git4idea.actions.branch.GitPushBranchAction,push_fetch,Push 指定分支,push_with_options,RebasedDialogs.swift: RebasedBranchesPopover Push -> PushDialogView.swift: PushDialogView,completed,推送目标分支/force/lease/发布 upstream/自定义 refspec/Push tags(All / Current Branch)/Run git hooks；root-scoped stable notification history；stale lease 拒绝提供 Force Push Anyway 与 Retry,non-fast-forward -> 结构化 PushFailureKind+Merge/Rebase 恢复；stale lease -> Force Push Anyway（保留 refspec/tag/hooks/upstream 且重新校验 protected branch）,tests/commit_push.rs + tests/remote_config.rs::force_with_lease_rejects_remote_updates + ArborTests/CompareSelectionTests.swift::testStalePushRejectionKeepsStructuredLeaseGuidance + ArborTests/HostingProviderTests.swift::PushDialogTests,
(GitPullBranchAction$WithMerge),git4idea.actions.branch.GitPullBranchAction$WithMerge,branch,Pull 指定分支 (merge 不切换),pull_branch(rebase=false),RebasedDialogs.swift: RebasedBranchesPopover Pull,completed,merge 进所选分支,脏树/冲突 -> 结构化引导,tests/pull.rs::pull_non_current_branch_merges_into_selected_branch_without_checkout,
(GitPullBranchAction$WithRebase),git4idea.actions.branch.GitPullBranchAction$WithRebase,branch,Pull 指定分支 (rebase 不切换),pull_branch(rebase=true),RebasedDialogs.swift: RebasedBranchesPopover Pull with Rebase,completed,rebase 进所选分支,同上,tests/pull.rs::pull_non_current_branch_rebases_into_selected_branch_without_checkout,
(GitDeleteRefAction on remote branch),git4idea.actions.ref.GitDeleteRefAction,branch,删除远程分支 (确认),delete_remote_branch + delete_remote_branch_with_auth_and_cancel,RebasedDialogs.swift: RebasedBranchesPopover Delete Remote Branch + MultiRootBranchesPopover Delete in Repositories…,verified-partial,单 root 删除远程分支并清理 remote-tracking ref；多 root 可选择仓库，按所选 root 求共同 tracking 分支并选择同时删除；远端已并发删除时执行 prune；只有所有选定 root 的远程删除成功后才清理共同 tracking 分支；tracking 分支 force-delete 后保留精确 tip/upstream 恢复；单 root、Branches Popup multi-root、Log 多选和 recovery 删除现在统一经过 credential broker 与 process-group cancel；Branches Popup/Log 多选远程分支按 remote branch 分组，统一询问是否删除共同 local tracking branches，并在本组全部远程删除成功后执行，失败/取消按 root 返回且不误删本地 tracking,权限不足/其他 Git 错误逐 root 返回且不会额外删除本地 tracking；剩余是完整原生 VcsNotifier action history、远程 tag 同类通知分组和 SwiftUI UI automation,tests/remote_refs.rs::delete_remote_branch_removes_remote_and_tracking_refs + remote_branch_delete_with_auth_cancellation_returns_cancelled + ArborTests/HostingProviderTests.swift::testSelectedRemoteBranchDeleteGroupsStayRootQualified,已接入 IntelliJ 一次确认、共同 tracking branch 选项、认证/取消和全量远程成功后的 tracking 清理顺序
Git.Tag.Push,git4idea.actions.tag.GitPushTagAction,push_fetch,推送单个 tag,tag_push,LogSidebar.swift: 标签页/Branches Popup/Log Branches dashboard Push to Remote,completed,tag 推送到明确选择的 remote；单 remote 保持直接入口,无远程 -> 按钮禁用,tests/tags.rs,
Git.Push.Tags (group),git4idea.actions.tag.GitPushTagsActionGroup,push_fetch,批量推送 tags,push_refspec_with_auth_and_cancel,RebasedDialogs.swift: TAGS 区域 Push All Tags,completed,按当前 root 的第一个 configured remote 以非 force wildcard refspec 推送全部本地 tags；认证/取消/远端拒绝进入 FeedbackCenter,-,tests/tags.rs::push_all_tags_refspec_publishes_every_local_tag,多 root 按 root 定向执行；不覆盖远程 divergent tag
Git.PushUpToCommit,git4idea.actions.GitPushUpToCommitAction,push_fetch,Push 到所选提交为止,push_refspec 可表达 + is_commit_reachable_from,LogGraphView.swift + WorkspaceOperations.swift + PushDialogView.swift: Push Up to Commit,completed,当前分支或包含提交的本地分支自动预填；无本地分支时使用可编辑 detached source revision + remote target branch,空 source/target 禁止提交；protected target、force-with-lease、认证和远程拒绝沿用 PushDialog/FeedbackCenter 结构化路径,tests/commit_push.rs::push_refspec_can_publish_head_to_a_selected_target + push_refspec_can_publish_a_detached_commit_to_a_selected_target + tests/branch_ops.rs::commit_reachability_identifies_the_branch_that_contains_a_log_commit + Arbor/ArborTests/HostingProviderTests.swift::PushDialogTests,对齐 GitPushUpToCommitAction：有分支优先分支 source，无分支仍打开完整 Push Dialog；支持 source/target 编辑
Git.Branches,git4idea.ui.branch.GitBranchesAction,branch,分支弹窗 (本地/远程/tag/recent/stash/shelf 列表+操作),branch_list / remote_branch_list / recent_branches / sync_status / tag_list / stash_list / shelve_list / branch_set_upstream,ContentView.swift: branchPopup -> RebasedBranchesPopover / MultiRootBranchesPopover,verified-partial,单 root 支持搜索/检出/比较/更新/合并/变基/推送/删除/checkout+update/tracking；多 root 按 root 分组、独立 repository picker/flat filter、root 定向 checkout、非当前本地分支 Update/Pull/Pull with Rebase、root-scoped Push dialog、Recent/Tags/Stashes/Shelves 基础动作、local/remote Compare/Merge/Fetch/Pull/Checkout/Delete、per-root remote 配置、local branch Checkout and Update/Rebase 与 stash/Shelf/operation conflict workbench 已接入；remote branch 按 fork 保持 Checkout/Checkout with Rebase/Pull/Fetch，不暴露 local-only Checkout and Update；Update 按 IntelliJ 逐 root partial-result 语义保留已完成 root；普通 checkout 部分成功时对缺少引用的 root 标记 skipped 并继续处理，保留已成功 root，并提供 Rollback Successful Roots 恢复此前 HEAD、删除本次创建的本地 branch；临时 Update stash/Shelf 已可从 root snapshot、Git stash 栈或命名 Shelf 重建 reopen recovery；Branches Popup 的显示 Recent、按 Repository 过滤、multi-root repository 分组和目录组折叠状态现在按标准化 project path 持久化，单 root remote branch 支持 Compare with Current；单 root、多 root Branches Popup 与 Log dashboard 已接入 speed-search-like 匹配、最佳匹配选中、上下键/回车导航，且多 root identity 含 rootPath；多 root Log 已按 rootPath 打开分支历史、比较、提交详情和主要变更动作，刷新时维护 active root,tests/branch_workspace.rs + tests/sync_status.rs + tests/multi_root.rs + ArborTests/HostingProviderTests.swift::BranchDirectoryTreeTests,GitRootBranchSnapshot 保留同名分支及 recent/tag/stash/shelf 的 root 边界；compound API 已覆盖 selected root/all roots，root-specific remote branch actions 与 stash/Shelf/operation recovery 已接线,剩余与 IntelliJ 的完整 tree filter/action group/selection semantics、跨 root 写操作统一聚合和更多 SwiftUI 专测仍有差距
Git.ShowBranches,git4idea.actions.GitBranchesComboBoxAction,branch,工具栏分支 widget,branch_list / sync_status,RebasedWorkspaceViews.swift: RebasedTopBar branchPopup + RebasedStatusBar 分支按钮,completed,同上,-,tests/sync_status.rs,
main.toolbar.git.Branches,com.intellij.vcs.git.frontend.widget.GitToolbarWidgetAction,branch,新 UI 工具栏分支 widget,branch_list / sync_status,RebasedWorkspaceViews.swift: RebasedTopBar branchPopup,completed,同上,-,tests/sync_status.rs,frontend XML 注册
Git.CreateNewBranch,git4idea.actions.GitCreateNewBranchAction,branch,创建新分支 (可指定基点),branch_create(at) / branch_create_and_switch / branch_create_or_reset / validate_branch_name / run_multi_root_branch_create_with_options / rollback_multi_root_branch_create_with_state,RebasedDialogs.swift: RebasedNewBranchDialog + RebasedMultiRootNewBranchDialog (名称+基点+Checkout branch+overwrite/reset+root selection+validation),verified-partial,创建后默认切换且可取消；支持名称与基点；Git ref-name/HEAD/重复分支在提交前校验；单 root 对齐 IntelliJ 的显式 Overwrite existing branch：非当前分支用 branch -f、当前分支用 switch -C；多 root 可选择仓库批量创建或覆盖，失败后保留逐 root branch tip/HEAD 状态并显式回滚成功 root；回滚会拒绝覆盖用户在操作后改动过的 branch tip；Roll Back/Keep Partial 通过 FeedbackCenter、Operation Log 和稳定 semantic action 跨重启恢复,Swift UI/UI automation 与完整原生通知分组仍缺,tests/branch_ops.rs::branch_create_rejects_invalid_and_existing_names_before_mutation + tests/branch_ops.rs::branch_create_or_reset_moves_existing_non_current_branch_without_checkout + tests/branch_ops.rs::branch_create_or_reset_current_branch_updates_worktree + tests/multi_root.rs::multi_root_branch_reset_restores_overwritten_non_current_tips + tests/multi_root.rs::multi_root_branch_reset_checkout_restores_previous_branch_and_tip + tests/multi_root.rs::multi_root_branch_reset_refuses_a_changed_branch_tip + ArborTests/CompareSelectionTests.swift::testMultiRootBranchCreateRollbackRequestRoundTripsExactTipState + testFeedbackHistoryRestoresMultiRootBranchCreateRollbackActionAcrossReload,单 root与多 root overwrite/reset及跨重启 rollback action 已接入
Git.CreateNewTag,git4idea.actions.GitTag,branch,创建轻量或 annotated tag 并支持显式覆盖已有 tag,tag_create_with_force / tag_create_with_options_and_force / tag_list,ContentView.swift: RebasedTagDialog + LogGraphView.swift: Create Tag at Commit,verified-partial,默认创建路径保持 MustNotExist；用户显式勾选 Replace existing tag 后轻量 tag 使用原子 ref 覆盖 annotated/signed tag 使用 git tag --force；目标 revision 为空时默认 HEAD,重复 tag 或无效 revision/签名失败时保留原 tag 并进入 FeedbackCenter,arbor-engine/tests/tags.rs::force_tag_update_requires_explicit_opt_in_and_replaces_target + force_annotated_tag_update_replaces_object_and_message + xcodebuild focused/full test + script/build_and_run.sh --verify,参考 GitTagDialog 的 existing-tag force checkbox；原生 DialogWrapper/DataContext/VcsNotifier 生命周期和 UI automation 仍 partial
Git.New.Branch.In.Log,git4idea.ui.branch.dashboard.BranchesDashboardActions$NewBranchAction,branch,日志中新建分支,branch_create(at) / branch_create_and_switch / branch_create_or_reset / validate_branch_name,LogGraphView.swift: Create Branch from Commit -> single/multi-root New Branch dialog,verified-partial,日志入口预填所选提交为基点、建议分支名且默认可 checkout；共享 IntelliJ Overwrite existing branch/reset 语义；共用提交前 ref-name/重复分支校验；从提交入口按短 hash 显示动态 dialog title；多 root 先选择受影响 repository,-,tests/branch_ops.rs::branch_create_rejects_invalid_and_existing_names_before_mutation + tests/branch_ops.rs::branch_create_or_reset_current_branch_updates_worktree,多 root repository picker 已接入；Swift UI 专测仍缺
